filter_name,mappings
csw-fmc-org,172.26.0.241/32
csw-fmc-org,34.69.98.95/32
csw-fmc-org,172.26.0.114/32
csw-fmc-org,192.168.15.160/32
csw-fmc-org,10.67.0.150/32
csw-fmc-org,192.168.25.32/32
csw-fmc-org,192.168.29.100/32
csw-fmc-org,10.0.115.10/32
csw-fmc-org,10.112.0.7/32
csw-fmc-org,10.113.0.6/32
csw-fmc-org,172.26.0.191/32
csw-fmc-org,10.0.223.15/32
csw-fmc-org,172.29.0.41/32
csw-fmc-org,192.168.2.52/32
csw-fmc-org,192.168.108.30/32
csw-fmc-org,10.142.0.58/32
csw-fmc-org,192.168.1.104/24
csw-fmc-org,10.110.0.120/32
csw-fmc-org,10.111.10.1/32
csw-fmc-org,192.168.2.54/32
csw-fmc-org,192.168.53.9/32
csw-fmc-org,192.168.108.32/32
csw-fmc-org,192.168.10.158/24
